"","cientifico","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"144","Somniosus pacificus","4.36","benthopelagic","0","2205","440","elongated"
"145","Squalus suckleyi","4.5","benthopelagic","15","1244","140","fusiform / normal"
"146","Squatina californica","4.14","demersal","3","205","152","other"
"147","Stenobrachius leucopsarus","3.1","bathypelagic","31","3400","13","fusiform / normal"
"148","Sternoptyx diaphana","3.44","bathypelagic","400","3676","5.5","short and / or deep"
"149","Stomias atriventer","4","bathypelagic","100","1500","25","elongated"
"150","Synodus lucioceps","4.5","reef-associated","1","229","64","elongated"
"151","Tactostoma macropus","4.2","bathypelagic","30","2000","34.3","eel-like"
"152","Talismania bifurcata","3.4","bathydemersal","300","2000","27.7","elongated"
"153","Tarletonbeania crenularis","3.1","bathypelagic","0","710","12.7","fusiform / normal"
"154","Thaleichthys pacificus","3.3","pelagic-neritic","0","300","34","elongated"
"155","Trachipterus altivelis","3.9","pelagic-oceanic","0","900","183","eel-like"
"156","Trachurus symmetricus","3.57","pelagic-oceanic","0","400","81","fusiform / normal"
"157","Xeneretmus latifrons","3.2","bathydemersal","18","400","19","elongated"
"158","Xystreurys liolepis","3.5","demersal","5","79","63.5","short and / or deep"
"159","Zalembius rosaceus","3.3","demersal","8","229","20","short and / or deep"
"160","Zaniolepis frenata","3.4","demersal","4","450","25","elongated"
"161","Zaniolepis latipinnis","3.13","demersal","37","201","30","elongated"
"162","Zesticelus profundorum",NA,NA,NA,NA,NA,NA
